,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
5159,as5160,s5160,movie,pak pak pakaak,gautam joglekar,"nana patekar, saksham kulkarni, narayani shastri, usha nadkarni, jyoti subhash, rekha kamat, vijay patwardhan, arun hornekar, vidyadhar joshi, anand ingle, nandu pol, aditi deshpande, jyoti joshi, damoo kenkre, jayraj nair, prachi shah",,,2005,all,138 min,"action, comedy, drama","a young mischievous boy, chiklu, ventures into a big forest which is supposedly haunted by a ghost, bhootya. after several encounters, chiklu befriends bhootya, changing their lives forever.",69,138,min
5160,as5161,s5161,movie,one step behind the seraphim,daniel sandu,"stefan iancu, vlad ivanov, toto dumitrescu, cristian bota, iulia alexandra dinu",,,2020,18+,147 min,"drama, special interest, suspense","a group of freshmen in an orthodox college are introduced in a world of cons, pleasure and money, but they soon discover that's not the way one's life should be lead.",54,147,min
5161,as5162,s5162,movie,i am not madame bovary,xiaogang feng,"fan bingbing, chengpeng dong",,,2016,16+,139 min,"comedy, drama","li xuelian and her husband stage a fake divorce to secure a second apartment in the city reserved by the government for single people. but when her husband remarries six months later-as agreed-but to a different woman, a furious li files a lawsuit with the county court. losing her case only makes li more determined to take her fight to the highest levels of government in beijing.",76,139,min
5162,as5163,s5163,movie,asin_tombstone_test_target_04,test director,"test actor 1, test actor 2",,,2019,g,0 min,comedy,asin_tombstone_test_target_04 short,29,0,min
5163,as5164,s5164,movie,what the waters left behind,"nicolás onetti, luciano onetti","agustín pardella, damián dreizik, victoria maurette, victorio d'alessandro, paula brasca",,,2018,18+,95 min,horror,"a group of young people take a trip to the ruins in order to film a documentary about epecuén. ignoring the warnings, and after a brief tour, they get stranded in the abandoned village. contrary to what they thought, they begin to realize that they are really not alone.",38,95,min
5164,as5165,s5165,movie,unlawful duties,sunil kulkarni,"chrystopher avant, dennis mallen, david mann",,,2021,18+,9 min,"action, drama, suspense",two officers on night duty receives a dispatch to investigate a disturbance in the area only to discover more than they expected.,62,9,min
5165,as5166,s5166,movie,un regalo esencial,jose mario salas boza,"viviana calderon, pablo rodriguez, mauricio hoffman, norval calvo, roque ramirez",,,2020,13+,108 min,"arts, entertainment, and culture, comedy, romance","it is the year 2025, and alejandro tells his grandson josue a story from a book that he is reading about a singer and a dancer who fell in love in 1985, but love represents much more than only sharing life together.",39,108,min
5166,as5167,s5167,movie,the time traveler,nico mastorakis,"keir dullea, adrienne barbeau, peter hobbs",,,1984,13+,101 min,"science fiction, suspense","this sci-fi mystery-thriller, written and directed by nico mastorakis, with adrienne barbeau (""escape from new york,"") keir dullea (""2001, a space odyssey,"") and jeremy licht (""twilight zone-the movie""). on the island of mykonos, a metaphysical tale of mystery and friendship between a time traveler, a boy, and his dog. music by stanley myers (""the deer hunter."")",8,101,min
5167,as5168,s5168,movie,the naked truth,nico mastorakis,"robert caso, courtney gibbs, kevin schon, herb edelman, brian thompson, yvonne de carlo, erik estrada, lou ferrigno, zsa zsa gabor, little richard, shannon tweed, john vernon, m. emmet walsh",,,1992,16+,99 min,comedy,"directed by nico mastorakis, this hilarious spoof features a stellar cast, including zsa zsa gabor, herb edelman, m. emmet walsh, bubba smith, ted lange, john vernon, alex cord, erik estrada, norman fell, lou ferrigno, billy barty, dick gautier, david birney, camilla sparv, shannon tweed, and some of the most beautiful women in hollywood. poking fun at beauty pageants has never been so much fun!",73,99,min
5168,as5169,s5169,movie,the attorney,woo-seok yang,"kang-ho song, kwang soo cha, gi-joong han",,,2014,16+,127 min,drama,"woo-seok song has no clients, connections or even a college degree, but his eye for business and appetite for money turn him into one of the most successful lawyers in town. but right at the peak of his success, a local teenager is falsely accused of a crime, then beaten and tortured while waiting in jail. shocked by these conditions, song takes on the case no one else will. based on a true story.",85,127,min
5169,as5170,s5170,movie,terminal exposure,nico mastorakis,"mark hennessy, hope marie carlton, john vernon, ted lange, joe estevez, patrick st. esprit",,,1987,16+,100 min,"action, comedy","award-winning director nico mastorakis, renowned for suspense and horror (""island of death,"" ""the zero boys,"" ""the wind"") takes a creative detour into action-comedy with zest and spectacular results. venice beach; intrigue, murder, sexy females, young comedians, with veteran actors, john vernon and ted lange among the cameo cast. spiced up by hans zimmer's youthful, energetic score.",18,100,min
