,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,duration_int,duration_type
1018,hs1019,s1019,movie,derek delgaudio’s in & of itself,,,united states,2021-01-22,2021,tv-ma,90 min,"documentaries, drama","derek delgaudio’s in & of itself is a new kind of lyric poem. it tells the story of a man fighting to see through the illusion of his own identity, only to discover that identity itself is an illusion. an intimate and powerful exploration of what it means to be and be seen, the film chronicles derek delgaudio’s attempt to answer one deceptively simple question, “who am i?” his personal journey expands to a collective experience that forces us to confront the boundaries of our own identities.",4,90,min
1019,hs1020,s1020,movie,terra willy: unexplored planet,,,france,2021-01-22,2019,pg,90 min,"adventure, comedy, kids","when a young boy crash lands on an unexplored planet, he must rely on a survival robot and an alien creature to help him find his way home.",43,90,min
1020,hs1021,s1021,movie,the sister,,,"united states, united kingdom",2021-01-22,2021,1 season,,"drama, mystery","almost a decade into his new devoted, married life, nathan is rocked to the core when bob, an unwelcome face from the past, turns up on his doorstep with shocking news, triggering a series of catastrophic decisions.",91,,
1021,hs1022,s1022,movie,the tax collector,,,united states,2021-01-22,2020,95 min,,"crime, drama, thriller","david and creeper are “tax collectors” for a local crime lord, but when an old rival returns, david must fight for his family and his life.",66,,
1022,hs1023,s1023,tv show,to catch a smuggler,,,united states,2021-01-21,2020,tv-14,1 Season,"crime, documentaries","millions of people enter the u.s. through the nation’s airports each year. it’s a nonstop human tidal wave, and hidden among them are an endless stream of contraband and ill intentions. defending our borders are the vigilant men and women of the department of homeland security, whose agencies make up a three-tiered defense of america’s airports. dhs will stop at nothing to catch a smuggler.",51,1,season
1023,hs1024,s1024,movie,90 day fiancé: self-quarantined,,,united states,2021-01-20,2020,1 season,,"documentaries, reality, romance","for the couples featured across the ""90 day fiancé"" franchise, their relationships have been tested by distance, cultural and religious differences, skeptical families, language barriers and much more; like the rest of the world, their lives and love are facing an unfathomable challenge of the global coronavirus pandemic.",99,,
1024,hs1025,s1025,tv show,a very brady renovation,,,united states,2021-01-20,2019,tv-g,1 Season,"lifestyle & culture, reality","jason pickens visits the brady bunch cast members to learn what they're doing now. then, from touring historic homes with eve plumb to exploring branson, mo, with barry williams, he explores each cast member's passion project.",82,1,season
1025,hs1026,s1026,tv show,car kings,,,united states,2021-01-20,2020,tv-14,1 Season,"comedy, lifestyle & culture, reality","in 1952, galpin auto sports revolutionized the automotive world by becoming the 1st dealership to design, build & sell a custom car becoming the most storied customization shop in the entire game. now, beau boeckmann, dave shuten & “mad mike” martin are revving up engines to save automotive history & rescue car culture from oblivion.",36,1,season
1026,hs1027,s1027,tv show,gold rush,,,united states,2021-01-20,2010,tv-pg,3 Seasons,reality,"in the face of an economic meltdown, a group of men will risk everything to strike it rich mining for gold in the wilds of alaska.",10,3,season
1027,hs1028,s1028,tv show,prodigal son,,,united states,2021-01-20,2019,tv-14,1 Season,"crime, drama","malcolm bright is a gifted criminal psychologist, using his twisted genius to help the nypd solve crimes and stop killers, all while dealing with a manipulative mother, a serial killer father still looking to bond with his prodigal son and his own constantly evolving neuroses. bright's only ally is his sister, ainsley, a tv journalist who wishes her brother would take a break from murder and have a normal life. unfortunately for his sister, the only way bright feels normal is by solving cases with the help of his longtime mentor, nypd detective gil arroyo. arroyo's one of the best detectives around, and he expects no less from his team, which includes detective jt tarmel, a born-and-bred new yorker who questions whether bright is a psychopath himself.",18,1,season
1028,hs1029,s1029,tv show,property brothers: forever home,,,united states,2021-01-20,2019,tv-g,1 Season,"lifestyle & culture, reality",drew and jonathan scott are on a mission to help couples transform their houses into homes where they can put down roots. the brothers unlock the full potential of each property and renovate to make dreams come true.,55,1,season
1029,hs1030,s1030,tv show,rob riggle: global investigator,,,united states,2021-01-20,2020,tv-14,1 Season,"action, adventure, lifestyle & culture",actor rob riggle takes his passion for adventure across the globe in hopes of solving some of the world's greatest mysteries.,10,1,season
1030,hs1031,s1031,tv show,rock the block,,,united states,2021-01-20,2019,tv-pg,1 Season,"lifestyle & culture, reality","leanne ford, alison victoria, jasmine roth and mina starsiak-hawk each have a month to renovate a home. the designer who nets the highest appraisal gets bragging rights and a street named in her honor.",50,1,season
1031,hs1032,s1032,tv show,save my skin,,,united kingdom,2021-01-20,2020,tv-14,1 Season,reality,"dr emma craythorne and a team of experts work together to collectively solve complex skin cases. at the clinic we meet the people whose lives are dramatically impeded by a devastating skin condition. trapped in their homes, too embarrassed to go out, unable to start relationships, get a job or interact socially.",91,1,season
1032,hs1033,s1033,tv show,the inauguration of joseph r. biden jr.,,,united states,2021-01-20,2021,g,1 Season,news,"inauguration events take place in washington for the next president of the united states, joe biden, and incoming vice president kamala harris.",3,1,season
1033,hs1034,s1034,tv show,hollyoaks,,,united kingdom,2021-01-18,1995,tv-pg,2 Seasons,"drama, international, romance","hollyoaks is a glossy, fast-paced and engaging drama. featuring top class acting and witty, evocative writing; the show has constantly raised the bar for teen entertainment.",62,2,season
1034,hs1035,s1035,tv show,is it wrong to try to pick up girls in a dungeon?,,,japan,2021-01-17,2015,tv-ma,3 Seasons,"action, adventure, anime","in orario, fearless adventurers band together in search of fame and fortune within the underground labyrinth known as the dungeon. but bell cranel, novice adventurer, has bigger plans than riches and glory; he fights monsters in the hope of having a fateful encounter with a girl. when this happens, it doesn’t go exactly as he planned. thus begins the story of an unlikely pair, a boy and a goddess, both trying to prove themselves, both eager to reach their goals.",63,3,season
1035,hs1036,s1036,movie,no escape,,,united states,2021-01-17,2020,92 min,,"horror, thriller","a social media star travels to moscow to capture new content. always pushing the limits and catering to a growing audience, he and his friends enter a cold world of mystery, excess, and danger.",84,,
1036,hs1037,s1037,tv show,coronation street,,,united kingdom,2021-01-15,1960,tv-pg,2 Seasons,"drama, international","britain's favorite drama series coronation street is loved by millions of fans worldwide. for five decades we have been gripped by the domestic dramas of these ordinary people on the fictional cobbled street in manchester. the roll call of iconic characters over the years is endless, with approximately 5,000 characters. the street has seen it all, from affairs of the heart to domestic disasters. with over 7,500 episodes there have been 39 births, 120 deaths and 88 weddings.",15,2,season
1037,hs1038,s1038,tv show,endlings,,,canada,2021-01-15,2020,tv-pg,2 Seasons,"action, adventure, family","set 20 years in the future, endlings is the empowering story of four teenagers in foster care who discover they're not alone in the universe, even though sometimes it can feel like they are. halfway across the world, tuko is alone. after the death of her mate, tuko becomes the last elephant in existence – what biologists call an endling. her endling status summons to earth a mysterious alien who is on an intergalactic quest to save the last member of near-extinct species. after tuko is collected, the alien's ship malfunctions and sends it on a crash course with the farm where julia (kamaia fairburn), johnny (edison grant), tabby (michela luci) and finn (cale thomas ferrin) live with their foster dad, mr. leopold (neil crone). before crashing, the alien releases all of its cosmic collection into the fields and wilderness surrounding the property. this kicks off a high-action life-altering mission to retrieve these fantastical creatures before the local police, tuko's caretaker (oyin oladejo), or a secretive industrialist (lisa ryder) can. along the way, four discarded teens discover that ""endling"" doesn't have to mean the end; it can also mean a new beginning.",20,2,season
1038,hs1039,s1039,movie,the secrets we keep,,,united states,2021-01-14,2020,r,98 min,thriller,"a survivor of wwii, rebuilding her life in suburban america with her husband, kidnaps her neighbor who she believes is responsible for the murder of her family during the war.",9,98,min
1039,hs1040,s1040,tv show,trafficked with mariana van zeller,,,united states,2021-01-14,2020,tv-14,1 Season,documentaries,"a look at the complex inner-workings of the global underworld, black and informal markets.",52,1,season
1040,hs1041,s1041,movie,dogs playing poker,,,,2021-01-13,2021,g,,comedy,"football-oriented animated shorts based on the icebox series “poker night,” inspired by cassius marcellus coolidge's iconic 1900s art series, “dogs playing poker.”",31,,
1041,hs1042,s1042,movie,everyone is doing great,,,united states,2021-01-13,2021,1 season,,drama,"seth and jeremy enjoyed the success of ‘eternal,’ a hit television vampire drama. five years after their show has ended, they lean on each other as they awkwardly navigate the perils of life and love in a late coming-of-age.",51,,
1042,hs1043,s1043,tv show,unpolished,,,united states,2021-01-13,2019,tv-pg,2 Seasons,reality,"following the zany antics of a family-run salon on long island, including nail artist lexi martone and her sister bria who co-own the place.",43,2,season
1043,hs1044,s1044,movie,24 hours: assault on the capitol,,,united states,2021-01-12,2021,g,,news,"the detailed timeline of events surrounding the deadly siege of the u.s. capitol and violence in washington, d.c. on january 6, 2021.",84,,
1044,hs1045,s1045,tv show,last man standing,,,united states,2021-01-11,2011,tv-pg,9 Seasons,"comedy, family, sitcom","mike baxter is a happily married father of three daughters who finds himself the odd man out as he tries to maintain his manliness in a home surrounded by women. mike tries to escape all the female drama at home in the warm, manly embrace of his job at the outdoor man store, a sporting goods emporium where he is marketing director. he also revels in his outdoor man vlog, which he uses as a pulpit for his opinions – which often have nothing to do with the store's merchandise. when he's supposed to be selling mountain bikes or kayaks, he somehow ends up spouting off about the environment, health care, international politics or any other topic occupying his mind.",2,9,season
1045,hs1046,s1046,movie,lights out,,,united states,2021-01-11,2016,pg-13,81 min,"horror, thriller",a young woman and her step-brother are terrorized by a malevolent spirit that only appears when the lights go out.,13,81,min
1046,hs1047,s1047,movie,the rhythm section,,,"united kingdom, spain, ireland, united states",2021-01-11,2020,r,110 min,"action, thriller",a woman seeks revenge against those who orchestrated a plane crash that killed her family.,91,110,min
1047,hs1048,s1048,movie,mushoku tensei: jobless reincarnation,,,japan,2021-01-10,2021,1 season,,anime,"when a 34-year-old underachiever gets run over by a bus, his story doesn’t end there. reincarnated as an infant, rudy will use newfound courage, friends, and magical abilities to embark on an epic adventure!",15,,
1048,hs1049,s1049,movie,horimiya,,,japan,2021-01-09,2021,1 season,,anime,"a secret life is the thing they have in common. hori is a prim social butterfly, but at home she’s a bit brash. meanwhile, under a gloomy facade, miyamura hides a gentle heart, piercings, and tattoos. in a chance meeting, they reveal their hidden sides.",40,,
1049,hs1050,s1050,tv show,wwe 205 live,,,united states,2021-01-09,2016,tv-pg,6 Seasons,sports,"the greatest performers from wwe's cruiserweight division showcase their unparalleled abilities on wwe network! witness buddy murphy, cedric alexander, the brian kendrick, kalisto, gran metalik, and many more world-class talents perform breathtaking feats of athleticism on 205 live!",67,6,season
1050,hs1051,s1051,tv show,wwe en español,,,,2021-01-09,2012,tv-pg,8 Seasons,"latino, sports","únete a los comentaristas de wwe en español todas las semanas para que te enteres de las últimas noticias de raw, smackdown live y mucho más , en nuestro idioma. ¡no te lo pierdas!",92,8,season
1051,hs1052,s1052,tv show,celebrity wheel of fortune,,,united states,2021-01-08,2021,tv-pg,1 Season,game shows,"""celebrity wheel of fortune"" takes a new spin on the iconic game show ""wheel of fortune."" hosted by pop culture legends pat sajak and vanna white, ""celebrity wheel of fortune"" welcomes celebrity contestants to spin the world's most famous wheel and solve word puzzles for a chance to win up to $1 million. all of the money won by the celebrity contestants goes to a charity of their choice.",31,1,season
1052,hs1053,s1053,movie,celebs go dating,,,united kingdom,2021-01-08,2016,3 seasons,,reality,"the celebrity dating agency opens its doors to single celebrities looking for love but these sexy boys and girls aren’t dating other celebs, they’re dating you the great british public.",36,,
1053,hs1054,s1054,tv show,mr. mayor,,,united states,2021-01-08,2021,tv-pg,1 Season,"comedy, sitcom","when retired los angeles businessman neil bremer decides to run for mayor of his beloved city, he surprises everyone and wins the seat. with great ideas and commitment to the community, he optimistically sets out to get to work shaking up city hall. however, he quickly discovers navigating politics is not business as usual. there are opinions to be heard, ribbons to be cut and foods to be eaten – all in support of his fellow citizens. luckily, he can rely on the know-how of his political-veteran deputy arpi – whose savvy and ambition make her equal parts friend and foil – and the dedication of his offbeat staff to keep him on the right path, as well as some inspiration from his teenage daughter.",27,1,season
1054,hs1055,s1055,tv show,tattoo fixers extreme uk,,,,2021-01-08,2018,g,2 Seasons,reality,"fixing the sins of the skin, four talented tattoo artists transform extreme-inking disasters into walking works of art as clients with regrettable tattoos visit their pop-up parlor for a badly needed body art consultation. do you have a rude tattoo? a holiday mistake? or the dreaded name of an ex-partner? then you've come to the right place...",12,2,season
